conuty,state,fips,rate
"Warren, MS",MS,28149,111.4
"Bear Lake, ID",ID,16007,111.3
"Vigo, IN",IN,18167,111.3
"Cherokee, NC",NC,37039,111.3
"Blair, PA",PA,42013,111.3
"Cassia, ID",ID,16031,111.2
"Wilkinson, MS",MS,28157,111.2
"Woodward, OK",OK,40153,111.1
"Bedford, TN",TN,47003,111.1
"Lawrence, KY",KY,21127,111
"Calcasieu, LA",LA,22019,110.9
"Lauderdale, TN",TN,47097,110.9
"Iron, UT",UT,49021,110.9
"Madison, IL",IL,17119,110.8
"Delta, MI",MI,26041,110.8
"Panola, MS",MS,28107,110.8
"Phelps, NE",NE,31137,110.8
"Boundary, ID",ID,16021,110.7
"St. Clair, MI",MI,26147,110.6
"Caribou, ID",ID,16029,110.5
"Loudon, TN",TN,47105,110.5
"Greeley, KS",KS,20071,110.4
"Bay, MI",MI,26017,110.4
"Highland, OH",OH,39071,110.4
"Trinity, CA",CA,6105,110.2
"Lonoke, AR",AR,5085,110.1
"Randolph, MO",MO,29175,110.1
"LaPorte, IN",IN,18091,110
"Jefferson Davis, LA",LA,22053,110
"Crook, OR",OR,41013,110
"Union, TN",TN,47173,110
"Moffat, CO",CO,8081,109.8
"Emanuel, GA",GA,13107,109.8
"Person, NC",NC,37145,109.8
"Coles, IL",IL,17029,109.5
"White Pine, NV",NV,32033,109.5
"Walworth, SD",SD,46129,109.5
"Yancey, NC",NC,37199,109.4
"Gallia, OH",OH,39053,109.4
"Pickens, SC",SC,45077,109.4
"Hughes, SD",SD,46065,109.4
"Marion, TN",TN,47115,109.4
"Hernando, FL",FL,12053,109.3
"Jackson, GA",GA,13157,109.3
"Warren, KY",KY,21227,109.3
"Morehouse, LA",LA,22067,109.3
"Cass, MO",MO,29037,109.3
"Labette, KS",KS,20099,109.2
"Clark, OH",OH,39023,109.2
"Marion, OH",OH,39101,109.2
"Custer, OK",OK,40039,109.2
"Sullivan, IN",IN,18153,109.1
"Pulaski, KY",KY,21199,109.1
"Clinton, OH",OH,39027,109.1
"Overton, TN",TN,47133,109.1
"Roane, WV",WV,54087,109.1
"Van Buren, AR",AR,5141,109
"Coal, OK",OK,40029,108.9
"Sutter, CA",CA,6101,108.8
"Barry, MO",MO,29009,108.8
"Iredell, NC",NC,37097,108.8
"Mineral, WV",WV,54057,108.8
"Douglas, OR",OR,41019,108.7
"Hampton, SC",SC,45049,108.7
"Caddo, LA",LA,22017,108.6
"Chowan, NC",NC,37041,108.6
"Simpson, KY",KY,21213,108.5
"Talbot, MD",MD,24041,108.5
"Benton, MO",MO,29015,108.5
"Montgomery, AR",AR,5097,108.4
"Perry, IN",IN,18123,108.3
"Radford, VA",VA,51750,108.3
"Roanoke City, VA",VA,51770,108.3
"Marshall, KY",KY,21157,108.2
"Washington, MS",MS,28151,108.2
"Cannon, TN",TN,47015,108.2
"Knox, TN",TN,47093,108.2
"Silver Bow, MT",MT,30093,108.1
"Craig, OK",OK,40035,108.1
"Grainger, TN",TN,47057,108.1
"Wetzel, WV",WV,54103,108.1
"Habersham, GA",GA,13137,108
"Lamar, AL",AL,1075,107.9
"Jersey, IL",IL,17083,107.9
"Atchison, KS",KS,20005,107.9
"Cherokee, OK",OK,40021,107.9
"Berrien, MI",MI,26021,107.8
"Nash, NC",NC,37127,107.8
"Benton, WA",WA,53005,107.8
"Jennings, IN",IN,18079,107.7
"Carroll, IA",IA,19027,107.7
"St. Clair, AL",AL,1115,107.6
"Franklin, MO",MO,29071,107.6
"Wichita, TX",TX,48485,107.5
"Twin Falls, ID",ID,16083,107.3
"Cole, MO",MO,29051,107.3
"Jackson, FL",FL,12063,107.2
"Dubois, IN",IN,18037,107.2
"Lewis, WA",WA,53041,107.1
"Jackson, WV",WV,54035,107.1
"Manistee, MI",MI,26101,107
"Mitchell, GA",GA,13205,106.9
"Bannock, ID",ID,16005,106.9
"Des Moines, IA",IA,19057,106.7
"Harrison, KY",KY,21097,106.7
"Fayette, OH",OH,39047,106.7
"Polk, TX",TX,48373,106.7
"Norton, KS",KS,20137,106.6
"Putnam, WV",WV,54079,106.6
"Crittenden, AR",AR,5035,106.5
"Dallas, AR",AR,5039,106.5
"Cerro Gordo, IA",IA,19033,106.5
"Langlade, WI",WI,55067,106.4
"Cass, IA",IA,19029,106.3
"St. Tammany, LA",LA,22103,106.3
"Bamberg, SC",SC,45009,106.3
"Oneida, ID",ID,16071,106.2
"Livingston, LA",LA,22063,106.2
"Transylvania, NC",NC,37175,106.2
"Lucas, OH",OH,39095,106.1
"James City, VA",VA,51095,106.1
"Coahoma, MS",MS,28027,106
"Ashe, NC",NC,37009,106
"Ross, OH",OH,39141,106
"Valley, ID",ID,16085,105.9
"Sangamon, IL",IL,17167,105.9
"Jackson, IL",IL,17077,105.8
"Mahoning, OH",OH,39099,105.7
"Tipton, TN",TN,47167,105.5
"Angelina, TX",TX,48005,105.4
"Butte, ID",ID,16023,105.3
"Gem, ID",ID,16045,105.3
"York, NE",NE,31185,105.2
"Haywood, NC",NC,37087,105.2
"Huron, OH",OH,39077,105.2
"Muskingum, OH",OH,39119,105.2
"Prince Edward, VA",VA,51147,105.2
"Henry, IN",IN,18065,105.1
"Okmulgee, OK",OK,40111,105.1
"Summers, WV",WV,54089,105.1
"Ripley, IN",IN,18137,105
"Chester, TN",TN,47023,105
"Butts, GA",GA,13035,104.9
"Monroe, IA",IA,19135,104.9
"Garrett, MD",MD,24023,104.9
"Mayes, OK",OK,40097,104.9
"Yankton, SD",SD,46135,104.9
"Hart, GA",GA,13147,104.8
"Dent, MO",MO,29065,104.8
"Stoddard, MO",MO,29207,104.8
"Pike, AL",AL,1109,104.7
"Barton, KS",KS,20009,104.7
"Butler, KS",KS,20015,104.7
"Mercer, KY",KY,21167,104.7
"Uinta, WY",WY,56041,104.7
"Bartow, GA",GA,13015,104.6
"Yavapai, AZ",AZ,4025,104.5
"Northumberland, PA",PA,42097,104.5
"DeSoto, MS",MS,28033,104.4
"Webster, MO",MO,29225,104.4
"Davison, SD",SD,46035,104.4
"Crockett, TN",TN,47033,104.4
"Hot Spring, AR",AR,5059,104.3
"Cook, GA",GA,13075,104.3
"Jay, IN",IN,18075,104.3
"Bourbon, KS",KS,20011,104.3
"Dodge, NE",NE,31053,104.3
"Jackson, OK",OK,40065,104.3
"Gilliam, OR",OR,41021,104.3
"West Baton Rouge, LA",LA,22121,104.2
"Jeff Davis, GA",GA,13161,104.1
"Whitley, IN",IN,18183,104.1
"Douglas, NV",NV,32005,104.1
"Citrus, FL",FL,12017,104
"Glynn, GA",GA,13127,104
"Clay, IN",IN,18021,104
"Tehama, CA",CA,6103,103.9
"Pontotoc, MS",MS,28115,103.9
"Quay, NM",NM,35037,103.9
"Cambria, PA",PA,42021,103.9
"Victoria, TX",TX,48469,103.9
"Webster, KY",KY,21233,103.8
"Sedgwick, KS",KS,20173,103.7
"Guernsey, OH",OH,39059,103.7
"Morris, TX",TX,48343,103.6
"Washington, GA",GA,13303,103.5
"Montgomery, OH",OH,39113,103.5
"Stark, OH",OH,39151,103.5
"Payne, OK",OK,40119,103.5
"Shelby, AL",AL,1117,103.4
"Nacogdoches, TX",TX,48347,103.4
"Delaware, IN",IN,18035,103.3
"Copiah, MS",MS,28029,103.3
"Hocking, OH",OH,39073,103.3
"Umatilla, OR",OR,41059,103.3
"Burnet, TX",TX,48053,103.3
"Young, TX",TX,48503,103.3
"Tallapoosa, AL",AL,1123,103.1
"Rutherford, NC",NC,37161,103.1
"Belmont, OH",OH,39013,103.1
"Levy, FL",FL,12075,102.9
"Dorchester, SC",SC,45035,102.9
"Conecuh, AL",AL,1035,102.8
"Monroe, AR",AR,5095,102.8
"Baldwin, GA",GA,13009,102.8
"Thomas, KS",KS,20193,102.8
"Rankin, MS",MS,28121,102.8
"Cascade, MT",MT,30013,102.7
"Hot Springs, WY",WY,56017,102.6
"Terrebonne, LA",LA,22109,102.5
"Lawrence, PA",PA,42073,102.5
"Scott, KS",KS,20171,102.2
"Lincoln, NE",NE,31111,102.2
"Macon, IL",IL,17115,102.1
"Allen, LA",LA,22003,102.1
"Pawnee, OK",OK,40117,102.1
"Bourbon, KY",KY,21017,102
"Lafayette, LA",LA,22055,102
"Polk, MO",MO,29167,102
"Blount, TN",TN,47009,102
"East Carroll, LA",LA,22035,101.9
"Liberty, TX",TX,48291,101.9
"Ketchikan Gateway, AK",AK,2130,101.8
"Montgomery, IN",IN,18107,101.8
"Franklin, KY",KY,21073,101.8
"Crawford, MI",MI,26039,101.8
"Trumbull, OH",OH,39155,101.8
"Macomb, MI",MI,26099,101.7
"Mason, WV",WV,54053,101.7
"Washington, AR",AR,5143,101.6
"Douglas, MN",MN,27041,101.6
"Nemaha, NE",NE,31127,101.6
"Troup, GA",GA,13285,101.5
"Rutherford, TN",TN,47149,101.5
"Ashland, WI",WI,55003,101.5
"Cabarrus, NC",NC,37025,101.4
"Jackson, NC",NC,37099,101.4
"Aransas, TX",TX,48007,101.4
"Kootenai, ID",ID,16055,101.3
"Lyon, NV",NV,32019,101.2
"Alleghany, NC",NC,37005,101.2
"Bartholomew, IN",IN,18005,101.1
"Floyd, IA",IA,19067,101.1
"Monroe, MS",MS,28095,101.1
"Scotts Bluff, NE",NE,31157,101.1
"Ottawa, OK",OK,40115,101.1
"Sawyer, WI",WI,55113,101.1
"Obion, TN",TN,47131,101
"Morgan, TN",TN,47129,100.9
"Berkeley, WV",WV,54003,100.9
"Chester, SC",SC,45023,100.8
"Humboldt, CA",CA,6023,100.7
"Thomas, GA",GA,13275,100.7
"Monroe, MI",MI,26115,100.7
"Jackson, IN",IN,18071,100.6
"Eaton, MI",MI,26045,100.6
"Lincoln, MT",MT,30053,100.6
"Murray, GA",GA,13213,100.4
"Gibson, IN",IN,18051,100.4
"Barnwell, SC",SC,45011,100.4
"Modoc, CA",CA,6049,100.2
"Vermilion, IL",IL,17183,100.2
"Kenai Peninsula, AK",AK,2122,100.1
"Sussex, DE",DE,10005,100.1
"Sumter, GA",GA,13261,100.1
"Charlton, GA",GA,13049,100
"Graves, KY",KY,21083,99.9
"Ascension, LA",LA,22005,99.9
"Clark, AR",AR,5019,99.7
"Calhoun, TX",TX,48057,99.7
"Butler, KY",KY,21031,99.6
"Taylor, KY",KY,21217,99.6
"Montezuma, CO",CO,8083,99.5
"Page, VA",VA,51139,99.4
"Houston, GA",GA,13153,99.3
"Traverse, MN",MN,27155,99.3
"Graham, AZ",AZ,4009,99.2
"Franklin, KS",KS,20059,99.2
"Boyd, KY",KY,21019,99.2
"Santa Rosa, FL",FL,12113,99.1
"Benewah, ID",ID,16009,99.1
"Calloway, KY",KY,21035,99.1
"Allen, OH",OH,39003,99
"Wilson, TN",TN,47189,99
"Pickens, AL",AL,1107,98.9
"Lafourche, LA",LA,22057,98.8
"Aitkin, MN",MN,27001,98.7
"Washington, NC",NC,37187,98.7
"Iberia, LA",LA,22045,98.6
"Wilson, NC",NC,37195,98.6
"Braxton, WV",WV,54007,98.6
"Shiawassee, MI",MI,26155,98.5
"Poinsett, AR",AR,5111,98.4
"St. John the Baptist, LA",LA,22095,98.4
"Brooke, WV",WV,54009,98.4
"Clarke, GA",GA,13059,98.3
"Schoolcraft, MI",MI,26153,98.3
"Cumberland, NJ",NJ,34011,98.3
"Le Flore, OK",OK,40079,98.3
"Wabash, IN",IN,18169,98.2
"Sierra, NM",NM,35051,98.2
"Hardin, TX",TX,48199,98.2
"Cowlitz, WA",WA,53015,98.2
"Columbia, WI",WI,55021,98.2
"Edwards, IL",IL,17047,98.1
"Clark, KY",KY,21049,98.1
"Beaver, UT",UT,49001,98.1
"Bossier, LA",LA,22015,98
"Chaffee, CO",CO,8015,97.9
"Chemung, NY",NY,36015,97.9
"Park, WY",WY,56029,97.9
"Bonneville, ID",ID,16019,97.8
"Lexington, SC",SC,45063,97.7
"Scott, MS",MS,28123,97.6
"Hopkins, TX",TX,48223,97.5
"Wood, TX",TX,48499,97.5
"Faulkner, AR",AR,5045,97.4
"Wilkes, NC",NC,37193,97.4
"Anderson, SC",SC,45007,97.4
"Greene, IN",IN,18055,97.3
"Georgetown, SC",SC,45043,97.3
"Swain, NC",NC,37173,97.2
"Mason, WA",WA,53045,97.2
"Richland, IL",IL,17159,97.1
"Choctaw, AL",AL,1023,97
"Douglas, GA",GA,13097,97
"Hall, GA",GA,13139,97
"Whitfield, GA",GA,13313,97
"Saginaw, MI",MI,26145,97
"Perry, TN",TN,47135,97
"Marion, WV",WV,54049,97
"Saline, AR",AR,5125,96.9
"Dodge, GA",GA,13091,96.9
"Garfield, OK",OK,40047,96.9
"Winnebago, IL",IL,17201,96.8
"Jessamine, KY",KY,21113,96.8
"Indian River, FL",FL,12061,96.7
"Crawford, OH",OH,39033,96.7
"Emery, UT",UT,49015,96.7
"Deer Lodge, MT",MT,30023,96.6
"Cumberland, NC",NC,37051,96.6
"Greenville, SC",SC,45045,96.6
"Orange, VA",VA,51137,96.6
"Pulaski, GA",GA,13235,96.5
"Canadian, OK",OK,40017,96.5
"Greene, IA",IA,19073,96.4
"Jefferson, IA",IA,19101,96.4
"Ringgold, IA",IA,19159,96.4
"Dimmit, TX",TX,48127,96.4
"Vermillion, IN",IN,18165,96.3
"Worth, GA",GA,13321,96.2
"Porter, IN",IN,18127,96.2
"Pottawattamie, IA",IA,19155,96.2
"East Baton Rouge, LA",LA,22033,96.1
"Noxubee, MS",MS,28103,96.1
"Brown, OH",OH,39015,96.1
"Christian, IL",IL,17021,96
"Calvert, MD",MD,24009,96
"Sumner, TN",TN,47165,96
"Hanover, VA",VA,51085,96
"Bulloch, GA",GA,13031,95.9
"Chickasaw, MS",MS,28017,95.9
"Eddy, ND",ND,38027,95.9
"Juab, UT",UT,49023,95.9
"Flathead, MT",MT,30029,95.8
"Madison, NE",NE,31119,95.8
"Crawford, PA",PA,42039,95.8
"Perry, IL",IL,17145,95.7
"Erie, OH",OH,39043,95.7
"Montgomery, MS",MS,28097,95.5
"Yellowstone, MT",MT,30111,95.5
"Lincoln, NM",NM,35027,95.5
"Grand, UT",UT,49019,95.4
"Ohio, WV",WV,54069,95.4
"Cape May, NJ",NJ,34009,95.3
"Washakie, WY",WY,56043,95.3
"Mecosta, MI",MI,26107,95.2
"Smith, TX",TX,48423,95.2
"Harvey, KS",KS,20079,95.1
"Vernon, MO",MO,29217,95.1
"Deschutes, OR",OR,41017,95
"Webster, IA",IA,19187,94.8
"Tyrrell, NC",NC,37177,94.8
"Wallowa, OR",OR,41063,94.8
"Clay, MO",MO,29047,94.7
"Lane, KS",KS,20101,94.6
"Grant, NM",NM,35017,94.6
"Klamath, OR",OR,41035,94.6
"Grant, WV",WV,54023,94.5
"Fulton, IN",IN,18049,94.4
"Eddy, NM",NM,35015,94.4
"Hawkins, TN",TN,47073,94.4
"Tazewell, IL",IL,17179,94.3
"Marshall, IN",IN,18099,94.3
"Turner, GA",GA,13287,94.2
"Kay, OK",OK,40071,94.2
"Crenshaw, AL",AL,1041,94
"Ballard, KY",KY,21007,93.9
"Ohio, KY",KY,21183,93.9
"Limestone, TX",TX,48293,93.9
"Macon, NC",NC,37113,93.8
"Barbour, WV",WV,54001,93.8
"Fulton, AR",AR,5049,93.7
"Anderson, KY",KY,21005,93.7
"Lycoming, PA",PA,42081,93.7
"Orangeburg, SC",SC,45075,93.7
"Poquoson, VA",VA,51735,93.7
"Franklin, FL",FL,12037,93.6
"Lincoln, NV",NV,32017,93.6
"Lassen, CA",CA,6035,93.4
"Dearborn, IN",IN,18029,93.4
"Tillman, OK",OK,40141,93.4
"Lincoln, WA",WA,53043,93.4
"Barbour, AL",AL,1005,93.3
"Harrison, IN",IN,18061,93.3
"Catahoula, LA",LA,22025,93.3
"Elk, PA",PA,42047,93.3
"Hunt, TX",TX,48231,93.3
"Benton, AR",AR,5007,93.2
"Boone, KY",KY,21015,93.2
"Iberville, LA",LA,22047,93.2
"Oneida, WI",WI,55085,93.2
"Lawrence, IL",IL,17101,93.1
"Lenawee, MI",MI,26091,93.1
"Osceola, MI",MI,26133,93.1
"Wayne, MI",MI,26163,93.1
"Perry, MS",MS,28111,93.1
"Jefferson, TX",TX,48245,93.1
"Fremont, WY",WY,56013,93.1
"Brevard, FL",FL,12009,93
"Cooke, TX",TX,48097,93
"Bradford, FL",FL,12007,92.9
"Richmond, GA",GA,13245,92.9
"Dawson, MT",MT,30021,92.8
"Sampson, NC",NC,37163,92.8
"Lawrence, OH",OH,39087,92.8
"Washington, IN",IN,18175,92.7
"McDowell, NC",NC,37111,92.7
"Aiken, SC",SC,45003,92.7
"Marquette, MI",MI,26103,92.6
"Bolivar, MS",MS,28011,92.6
"Luna, NM",NM,35029,92.6
"St. Francis, AR",AR,5123,92.4
"White, GA",GA,13311,92.4
"Nelson, KY",KY,21179,92.4
"Columbiana, OH",OH,39029,92.4
"Warren, VA",VA,51187,92.4
"Allen, KY",KY,21003,92.3
"Calaveras, CA",CA,6009,92.2
"Cowley, KS",KS,20035,92.2
"Otoe, NE",NE,31131,92.2
"Davidson, TN",TN,47037,92.2
"Luzerne, PA",PA,42079,92.1
"Yuba, CA",CA,6115,92
"Franklin, LA",LA,22041,91.9
"Saline, MO",MO,29195,91.9
"Rio Grande, CO",CO,8105,91.7
"Fayette, WV",WV,54019,91.7
"Decatur, KS",KS,20039,91.6
"Washington, UT",UT,49053,91.6
"Johnson, IN",IN,18081,91.5
"Vernon, LA",LA,22115,91.5
"Strafford, NH",NH,33017,91.5
"Lowndes, GA",GA,13185,91.4
"Athens, OH",OH,39009,91.4
"Clarke, IA",IA,19039,91.3
"Lancaster, SC",SC,45057,91.3
"Cheatham, TN",TN,47021,91.2
"Roanoke, VA",VA,51161,91.1
"Pipestone, MN",MN,27117,91
"Box Butte, NE",NE,31013,91
"McKean, PA",PA,42083,91
"Logan, CO",CO,8075,90.9
"Campbell, KY",KY,21037,90.9
"Johnson, TX",TX,48251,90.9
"Stanislaus, CA",CA,6099,90.8
"Laurens, SC",SC,45059,90.8
"Scurry, TX",TX,48415,90.8
"Walla Walla, WA",WA,53071,90.8
"Monona, IA",IA,19133,90.7
"Leake, MS",MS,28079,90.7
"Kanabec, MN",MN,27065,90.5
"Titus, TX",TX,48449,90.5
"Delta, CO",CO,8029,90.4
"Venango, PA",PA,42121,90.4
"Jefferson, WA",WA,53031,90.4
"Pike, IN",IN,18125,90.3
"Larue, KY",KY,21123,90.3
"Washoe, NV",NV,32031,90.3
"Taos, NM",NM,35055,90.3
"Rowan, NC",NC,37159,90.3
"Plumas, CA",CA,6063,90.2
"Baraga, MI",MI,26013,90.2
"Rio Arriba, NM",NM,35039,90.2
"Logan, OH",OH,39091,90.2
"Wilkinson, GA",GA,13319,90
"Suffolk, VA",VA,51800,90
"Lincoln, LA",LA,22061,89.9
"Chesterfield, SC",SC,45025,89.9
"Marion, FL",FL,12083,89.8
"Santa Fe, NM",NM,35049,89.8
"Knott, KY",KY,21119,89.7
"Claiborne, LA",LA,22027,89.7
"Henderson, NC",NC,37089,89.7
"Blackford, IN",IN,18009,89.6
"Hancock, MS",MS,28045,89.6
"White, IN",IN,18181,89.5
"Jackson, MI",MI,26075,89.5
"Skagit, WA",WA,53057,89.5
"Madison, KY",KY,21151,89.4
"Avery, NC",NC,37011,89.4
"Pitt, NC",NC,37147,89.4
"Newberry, SC",SC,45071,89.4
"Beaverhead, MT",MT,30001,89.2
"Humboldt, NV",NV,32013,89.1
"Polk, IA",IA,19153,89
"Waupaca, WI",WI,55135,89
"Montrose, CO",CO,8085,88.9
"Suwannee, FL",FL,12121,88.9
"Rush, IN",IN,18139,88.9
"Delaware, OK",OK,40041,88.9
"Bryan, GA",GA,13029,88.8
"Ellis, OK",OK,40045,88.8
"Calhoun, AR",AR,5013,88.7
"Muscogee, GA",GA,13215,88.7
"Piscataquis, ME",ME,23021,88.7
"Douglas, MO",MO,29067,88.7
"Defiance, OH",OH,39039,88.7
"Montgomery, TN",TN,47125,88.7
"Pendleton, WV",WV,54071,88.7
"Prairie, AR",AR,5117,88.6
"Duval, FL",FL,12031,88.6
"Macon, MO",MO,29121,88.6
"Clay, FL",FL,12019,88.5
"Mitchell, KS",KS,20123,88.5
"Jefferson, KY",KY,21111,88.5
"Buncombe, NC",NC,37021,88.5
"Atascosa, TX",TX,48013,88.5
"Prowers, CO",CO,8099,88.4
"La Salle, IL",IL,17099,88.4
"Big Stone, MN",MN,27011,88.4
"Anderson, TX",TX,48001,88.4
"Adams, OH",OH,39001,88.3
"Daviess, IN",IN,18027,88.2
"Steuben, IN",IN,18151,88.2
"Brooks, GA",GA,13027,88.1
"Fayette, GA",GA,13113,88.1
"Fall River, SD",SD,46047,88.1
"Burke, GA",GA,13033,88
"Clermont, OH",OH,39025,88
"Williamsburg, SC",SC,45089,88
"Washington, TX",TX,48477,88
"Buchanan, VA",VA,51027,88
"McPherson, KS",KS,20113,87.9
"Camden, NJ",NJ,34007,87.9
"Chatham, GA",GA,13051,87.8
"Bledsoe, TN",TN,47007,87.8
"Halifax, VA",VA,51083,87.8
"Barrow, GA",GA,13013,87.7
"McLean, KY",KY,21149,87.6
"Alamance, NC",NC,37001,87.6
"Okaloosa, FL",FL,12091,87.5
"Pennington, MN",MN,27113,87.5
"Erie, PA",PA,42049,87.5
"Midland, MI",MI,26111,87.4
"Hood River, OR",OR,41027,87.4
"Franklin, VA",VA,51067,87.4
"Coos, NH",NH,33007,87.2
"Sherman, KS",KS,20181,87.1
"Montgomery, AL",AL,1101,87
"Spokane, WA",WA,53063,87
"Lewis, WV",WV,54041,87
"Hamilton, KS",KS,20075,86.9
"Anson, NC",NC,37007,86.9
"Weber, UT",UT,49057,86.9
"Henry, VA",VA,51089,86.9
"Hampton, VA",VA,51650,86.9
"Chelan, WA",WA,53007,86.9
"Stephenson, IL",IL,17177,86.8
"Warren, NY",NY,36113,86.8
"Garfield, UT",UT,49017,86.8
"Sanpete, UT",UT,49039,86.8
"Effingham, GA",GA,13103,86.7
"Decatur, IN",IN,18031,86.6
"Lawrence, SD",SD,46081,86.6
"Logan, IL",IL,17107,86.5
"Logan, KY",KY,21141,86.5
"Lapeer, MI",MI,26087,86.5
"Nodaway, MO",MO,29147,86.5
"Harnett, NC",NC,37085,86.5
"Franklin, ID",ID,16041,86.4
"Green, KY",KY,21087,86.4
"Sweetwater, WY",WY,56037,86.4
"Colquitt, GA",GA,13071,86.3
"Garfield, CO",CO,8045,86.2
"Mesa, CO",CO,8077,86.2
"Hardin, KY",KY,21093,86.2
"Rockcastle, KY",KY,21203,86.2
"De Witt, IL",IL,17039,86.1
"Clinton, IA",IA,19045,86.1
"Mackinac, MI",MI,26097,86.1
"Martin, MN",MN,27091,86.1
"Merrimack, NH",NH,33013,86.1
"Valencia, NM",NM,35061,86.1
"Summit, OH",OH,39153,86.1
"Columbia, PA",PA,42037,86.1
"Hardy, WV",WV,54031,86.1
"Searcy, AR",AR,5129,86
"Nevada, CA",CA,6057,86
"Holmes, FL",FL,12059,86
"Dickinson, IA",IA,19059,85.9
"Granville, NC",NC,37077,85.9
"Jefferson, WV",WV,54037,85.9
"Huntington, IN",IN,18069,85.8
"St. Joseph, IN",IN,18141,85.8
"Perry, OH",OH,39127,85.7
"Cleveland, OK",OK,40027,85.7
"Haywood, TN",TN,47075,85.7
"Alleghany, VA",VA,51005,85.7
"Scott, KY",KY,21209,85.5
"Wicomico, MD",MD,24045,85.5
"Harlan, NE",NE,31083,85.5
"Watauga, NC",NC,37189,85.5
"Chicot, AR",AR,5017,85.4
"Marion, AR",AR,5089,85.4
"Warrick, IN",IN,18173,85.4
"Madison, IA",IA,19121,85.4
"Montgomery, IA",IA,19137,85.4
"Stokes, NC",NC,37169,85.4
"Wyoming, PA",PA,42131,85.2
"Kerr, TX",TX,48265,85.2
"Hale, AL",AL,1065,85.1
"Peoria, IL",IL,17143,85.1
"Branch, MI",MI,26023,85.1
"Carroll, NH",NH,33003,85.1
"Socorro, NM",NM,35053,85.1
"Butler, OH",OH,39017,85.1
"Pasco, FL",FL,12101,85
"Cherry, NE",NE,31031,85
"Coshocton, OH",OH,39031,85
"Sequoyah, OK",OK,40135,85
"Clarendon, SC",SC,45027,84.9
"Charleston, SC",SC,45019,84.8
"Rutland, VT",VT,50021,84.8
"Stevens, WA",WA,53065,84.8
"Wakulla, FL",FL,12129,84.7
"Columbia, GA",GA,13073,84.7
"Knox, KY",KY,21121,84.7
"Claiborne, MS",MS,28021,84.7
"Milwaukee, WI",WI,55079,84.7
"Racine, WI",WI,55101,84.7
"Ford, KS",KS,20057,84.6
"Chaves, NM",NM,35005,84.6
"Montgomery, NY",NY,36057,84.6
"Rock Island, IL",IL,17161,84.5
"Putnam, IN",IN,18133,84.5
"Randolph, IN",IN,18135,84.5
"Aroostook, ME",ME,23003,84.5
"Rock, WI",WI,55105,84.5
"Kent, DE",DE,10001,84.4
"Iron, MI",MI,26071,84.4
"Crawford, MO",MO,29055,84.4
"Clearfield, PA",PA,42033,84.4
"Arkansas, AR",AR,5001,84.3
"Walton, FL",FL,12131,84.3
"Fulton, OH",OH,39051,84.3
"Mifflin, PA",PA,42087,84.3
"Bastrop, TX",TX,48021,84.1
"Henderson, TX",TX,48213,84.1
"Mille Lacs, MN",MN,27095,84
"Guilford, NC",NC,37081,84
"Androscoggin, ME",ME,23001,83.9
"Forsyth, NC",NC,37067,83.9
"Somerset, ME",ME,23025,83.8
"Franklin, MS",MS,28037,83.8
"Jackson, MO",MO,29095,83.8
"Stutsman, ND",ND,38093,83.8
"Schuylkill, PA",PA,42107,83.8
"Lake, TN",TN,47095,83.8
"McDonough, IL",IL,17109,83.7
"Lubbock, TX",TX,48303,83.7
"Franklin, VT",VT,50011,83.7
"Pinellas, FL",FL,12103,83.6
"Alger, MI",MI,26003,83.6
"Cochise, AZ",AZ,4003,83.5
"Morgan, GA",GA,13211,83.5
"Greene, OH",OH,39057,83.5
"Yamhill, OR",OR,41071,83.5
"Jim Wells, TX",TX,48249,83.4
"Nueces, TX",TX,48355,83.4
"Dade, GA",GA,13083,83.3
"Shelby, IN",IN,18145,83.3
"Pointe Coupee, LA",LA,22077,83.3
"Jefferson, MO",MO,29099,83.1
"Comanche, OK",OK,40031,83.1
"Clackamas, OR",OR,41005,83.1
"Montague, TX",TX,48337,83.1
"Greene, VA",VA,51079,83.1
"Custer, NE",NE,31041,83
"Amherst, VA",VA,51009,83
"Isabella, MI",MI,26073,82.9
"Hall, NE",NE,31079,82.9
"Grundy, IL",IL,17063,82.8
"Gratiot, MI",MI,26057,82.8
"Gloucester, NJ",NJ,34015,82.8
"Monroe, PA",PA,42089,82.8
"Hutchinson, SD",SD,46067,82.8
"Lenoir, NC",NC,37107,82.7
"Hockley, TX",TX,48219,82.7
"La Paz, AZ",AZ,4012,82.6
"Peach, GA",GA,13225,82.6
"Tuscola, MI",MI,26157,82.6
"Lake, FL",FL,12069,82.4
"Carter, KY",KY,21043,82.4
"Panola, TX",TX,48365,82.4
"Christian, MO",MO,29043,82.3
"Martin, NC",NC,37117,82.3
"Lake, IN",IN,18089,82.2
"Calhoun, MS",MS,28013,82.2
"Belknap, NH",NH,33001,82.2
"Caddo, OK",OK,40015,82.2
"Allen, IN",IN,18003,82.1
"Sumter, SC",SC,45085,82.1
"Marinette, WI",WI,55075,82.1
"Henry, GA",GA,13151,81.9
"Charles, MD",MD,24017,81.9
"Fergus, MT",MT,30027,81.9
"Box Elder, UT",UT,49003,81.9
"Natrona, WY",WY,56025,81.9
"Lincoln, AR",AR,5079,81.8
"Montour, PA",PA,42093,81.8
"Bennington, VT",VT,50003,81.8
"Penobscot, ME",ME,23019,81.7
"Van Zandt, TX",TX,48467,81.7
"Bristol, MA",MA,25005,81.5
"Kankakee, IL",IL,17091,81.4
